English,Reference Igbo,Predicted Igbo
"She conceived again, and bore a daughter. Then he said to him, ""Call her name Lo-Ruhamah, for I will no longer have mercy on the house of Israel, that I should in any way pardon them.","Emesịa, Goma tụụrụ ime ọzọ, mụta nwa nwanyị. Ọ gwara ya, ""Aha ị ga-agụ ya bụ Lo-Ruhama, n'ihi na agaghị m enwekwa obi ebere ọzọ n'ahụ ụlọ Izrel, ịgbaghara ha mmehie ha.","Ọ tụrụ ime ọzọ ma mụọ nwa nwanyị. Ọ gwaziri ya, sị, ""Cuura ya nile, n'ihi na agakwaghị m enwe obi ebere n'ụlọ Izrel, ka m wee gbaghara ha n'ụzọ ọ bụla."
"for the show bread also, and for the fine flour for a meal offering, whether of unleavened wafers, or of that which is baked in the pan, or of that which is soaked, and for all measurements of quantity and size;","Ọ bụkwa ọrụ ha iwebata achịcha a na-eche n'ihu Chineke, na ụtụ ọka e ji enye onyinye mkpụrụ ọka, na achịcha mbadamba a na-ejighị ihe na-eko achịcha mee. Ọrụ ha bụkwa ịgwakọta ihe e ji eme achịcha, na ighe ya, na ilekọta ihe ọtụtụ niile e ji atụ ihe.","Maka achịcha ahụ, nakwa maka ntụ ọka ahụ mara mma maka ihe oriri, ma ọ̀ bụ nke ndị na - ekoghị eko, ma ọ bụ nke a na - eme n'ime efere ahụ, ma ọ bụ nke a na - eme n'ihe ọ̀tụ̀tụ̀, nakwa maka ọ̀tụ̀tụ̀ kwesịrị ekwesị nakwa maka otú ihe ọ̀tụ̀tụ̀"
"In his book titled ‘My Watch’, Obasanjo described Atiku as a “shameless liar”.","N""akwụkwọ ya bụ 'My Watch', Obasanjọ kọwara Atiku dịka 'Onye asị ihere adịghị eme'","N'akwụkwọ ya bụ́ Acreing My Watch Watch Banyere Ihe Ndị Na - eme n'Oge Gara Aga, Obasanjo kọwara ya dị ka onye ụgha na - enweghị atụ nke a na - apụghị iji anya nkịtị hụ."
The Democrats said that the Republicans have agreed to meet in other to discuss the immigration policies in US.,Ndị otu Demokrat kwuru na ndị Republicans kwetara na ha ga-eme nkparịta ụka maka onọdụ ndị mbiambia bị n'ala US.,Akwụkwọ akụkọ bụ́ Democras kwuru na ndị Republic ekwerewo iso ndị ọzọ nwee nzukọ iji tụlee ụkpụrụ iwu ndị na - achịkwa akparamàgwà mmadụ n'akwụkwọ akụkọ bụ́ ndị a na - ebipụta na United States.
What are you supposed to know before accepting a maid,Gịnị ka ị kwesiri ima tupu ị nabata onye odibo,Ihe i kwesịrị ịma tupu ị nabata nwa ọhụrụ
"You shall do this to them to cleanse them: sprinkle the water of cleansing on them, let them shave their whole bodies with a razor, let them wash their clothes, and cleanse themselves.","Ime ka ha dị ọcha, lee ihe ị ga-eme. Fesa ha mmiri na-asachapụ mmehie. Hụkwa na ha kpụchapụrụ ajị niile dị ha n'ahụ, ma sachaa uwe ha. Si otu a mee ka ha bụrụ ndị dị ọcha.","Ị ga - eme nke a ka ha wee mee ka ha dị ọcha: Ị ga - awụsa mmiri nke ime ka ha dị ọcha, ka ha jiri afụ ọnụ ha dum kpụọ ahụ́ ha, ka ha saa uwe ha, meekwa ka ha dị ọcha."
Let's be thankful to Olmec-Mexico for introducing cocoa tea to the world.,Ka anyi kelee ndi gboo nke 'Olmec-Mexico' maka i gosi ụwa niile ihe ọṅụṅụ mmiri koko.,Ka anyị nwee ekele n'ebe Onyenwe anyị nọ maka iwetara ụwa tii ndị a na - eji eme ihe n'ụwa.
"Discretion will watch over you. Understanding will keep you,","Izuzu zuruoke ga-echebe gị, nghọta ga na-eche gị nche.","Nghọta ga - eche gị nche, na - eche gị nche."
she said that she would not let what happened 'steal her joy and happiness'.,Ọ sị na ọ gaghị ekwe ka ihe mere 'zuru ọṅụ m na obi aṅụrị m.',O kwuru na ya agaghị ekwe ka ihe ahụ merenụ mee ka ya ghara inwe ọṅụ na obi ụtọ.
"And you will notice that where Olamilekan was recognized, Olajumoke wasn’t. Olajumoke was popular on Nigerian social media and media stations but Olamilekan got a global recognition with top media stations. One of his videos has over 4.5 million views. I was elated. I was screaming and showing hubby the statistic.","Ị ga-ahụ na ebe ebuliri Olamilekan, ebulighị Olajumoke. Olajumoke bụ nke na-ewu ewu n'ọwa ozi ikuku nke Naịjirịa na ụlọ mgbasa ozi mana Olamilekan bụ nke nwetara mbuli nke mba ụwa site n'ụlọ mgbasa ozo. Otu n'ime onyoonyo ya bụ nke mmadụ karịrị nde anọ na puku narị ise kirila. Ọ nyere m obi aṅụrị. Ana m eti mkpu ma na-egosi nwunye m akara ahụ.","Ị ga - ahụkwa na n'ebe a matara Omkakan, onye na-ahụ maka ndị mmadụ bụ onye a ma ama n'ụlọ ọrụ mgbasa ozi nakwa n'ụlọ ọrụ mgbasa ozi bụ onye a ma ama n'ụlọ ọrụ mgbasa ozi nakwa onye mbụ n'ụlọ ọrụ mgbasa ozi. Otu n'ime vidio ya nwere ihe karịrị nde echiche 4.5."
"They gave him seventy pieces of silver out of the house of Baal Berith, with which Abimelech hired vain and reckless fellows who followed him.","Ha sitere n'ụlọ arụsị Baal-Berit nye ya iri shekel ọlaedo asaa. Abimelek ji ego ndị a goo ndị efulefu jọgburu onwe ha, ndị na-akpọghị ndụ ha ihe ọbụla, ndị kwenyere ma gbasoro ya.","Ha nyere ya mkpụrụ ego ọlaọcha iri asaa n'ụlọ Bel Bel Berith, bụ́ nke ize ndụ ya mere ka o were ndị ha na ya so na - agbaso ya ihe efu na ihe jọgburu onwe ya n'anya."
NAFDAC has assured that they will make sure that they wilshut down any illegal building that supported the selling of Codeine drugs.,NAFDAC kwuru na ha ga-agba mbọ kwụsị ụlọọrụ niile na-akwado mmebi ọgwụ codeine na Naịjirịa.,Ọ ga - edo ha anya na ha ga - ahụ na ha mebiri iwu obodo ọ bụla kwadoro ire ọgwụ ndị na - alụso nje HIV ọgụ.
"If I don't do the works of my Father, don't believe me.","Unu ekwenyela na m, ma ọ bụrụ na ọ bụghị ọrụ Nna m ka m na-arụ.","Ọ bụrụ na emeghị m ọrụ Nna m, ekwerela m."
They won Libya four goals to one in Godswill Akpabio stadium in Uyo.,isi obodo Akwa Ibom steeti.,Ha meriri ihe mgbaru ọsọ anọ n'otu ámá egwuregwu dị na Uyo.
"She explained that a truck, with no registration number, heading to Sango-Ota from Abeokuta, lost control due to tyre burst.","Ọ kọwara na otu ụgbọ ala trọkụ, n' enweghị akara e ji mara ya, si Abeokuta na-eje Sango-Ota, ekweghi nkwụsị n' ihi na taya ya gbawara.","Ọ kọwara na otu gwongworo, ebe ọ na - enweghị nọmba, na - aga n'Obe-Ota, n'enweghị onye na - achịkwa ya n'ihi ịda mbà n'obi."
"Poverty and shame come to him who refuses discipline, but he who heeds correction shall be honored.",Onye na-ajụ ịdọ aka na ntị ga-anwụ n'ụkpa na n'ihere; ma onye na-anabata ịdọ aka na ntị ka a ga-asọpụrụ.,"Ịda ogbenye na ihere na - abịakwute onye jụrụ ịdọ aka ná ntị, ma a ga - akwanyere onye na - aṅa ntị n'ịdọ aka ná ntị ùgwù."
"This resulted in penalty kick, where Super Falcons won them with 4 goals against 3 and lifted the trophy",Nke a mere ha jiri gbaa penariti bụ nke ndị Super Falcons ji gbajie ha aka napụ ha ya bụ iko ka ha nyere goolu anọ ebe South Africa nyere atọ.,"Nke a mere ka a kwụsị inye ha ntaramahụhụ, bụ́ ebe ndị na - agba ọchịchị mgba okpuru meriri ha site n'ime ka ha nwee ihe mgbaru ọsọ 4 ha ga - agbaso ma bulie ha elu"
He was the Rivers state governor twice under the PDP from 2007 to 2015.,Ọ bụ aka chịrị Rivas steeti ugboro abụọ n'okpuru PDP site n'afọ 2007 rue 2015.,"Ọ bụ gọvanọ nke Osimiri Rivers, bụ́ nke dị okpukpu abụọ site n'afọ 2007 ruo 2015."
One colleague told the Sun: 'She's a serving British police officer - it's outrageous.,Otu onye ọrụ ibe ya gwara Sun: 'Ọ bụ onye uwe ojii Britain ka na-eje ozi- ọ jọgburu onwe ya.,Otu onye ọrụ ibe ya gwara Sun: ' Ọ bụ onye uwe ojii Britain na - eje ozi - ọ bụ ihe jọgburu onwe ya.
Nigeria will sell public property to meet up with the 2018 budget.,Naịjirịa ga-ere akụnaụba ọha iji mezuo ego bọjetị 2018,Nigeria ga - ere ala ọha na eze iji nweta ego ha ga - emefu n'ọnwa 2018.
"Which of them do you think became billionaires, unknown to Mr. Integrity?","Kedụ otu n'ime ha bara ọgaranya ukwu, nke Maazị Aka ịkwụọtọ amaghị banyere ya?","N'ime ha, olee nke i chere na o nweghị ihe jikọrọ ya na iguzosi ike n'ezi ihe?"
Is there no balm in Gilead? Is there no physician there? Why then isn't the health of the daughter of my people recovered?,Ọ pụtara na o nweghị mmanụ otite na-eme ka ọnya laa dị na Gilead? Ọ bụ na e nwekwaghị dibịa nọ n'ebe ahụ? Gịnị mere o nweghị ọgwụgwọ dịrị ndị m n'ihi mmerụ ahụ ha niile?,Ọ̀ bụ na e nweghị dọkịta nọ na Gilied?
"Instead, I chose to study gender because I am interested in masculinity and femininity, in gender norms attributed to the male and female sexes, in the interaction – the never-ending conflicts and also the opportunities to live together harmoniously – caused by gender roles.","kama, ahọọrọ m ịgụ okike n'ihi na enwere m mmasị n'ihe banyere oke na nne, ụdị okike nke enyere nwoke na nwaanyị, na mkparịtaụka-agha anaghị ebi ebi na ohere ibikọrịta n'udo-nke ọrụ okike na-ebute.","Kama nke ahụ, amalitere m ịmụ banyere nwoke n'ihi na enwere m mmasị n'inwe mmekọahụ aghara aghara nakwa n'ihi ịbụ nwanyị, n'ịbụ onye e chere na ọ bụ nwoke ma ọ bụ nwanyị kpatara ya, ná mmekọrịta nke mụ na nwoke na nwanyị, nakwa n'ihe banyere ohere ndị a na-amaghị ama nke ịlụ di ma ọ bụ nwunye na - akpata."
"He's from a poor background. Rock bottom background! To most of us who see ourselves as average, Olamilekan sees us as privileged. He's so poor that he said: “In his family, they have to toil and sweat before they can put food on the table.” So he made a portrait showing a young boy with sweat all over him putting food on his table.","O si na ngwuru dara ogbenye. Ngwuru nke ime ime. Maka ọtụtụ n'ime anyị hụtara onwe anyị dịka ndị opekata mpe, Olamilekan hụrụ onwe ya dịka onye chi ọma. Ọ dara ogbenye nke ukwu na ọ sịrị: ""N'ezinaụlọ ya, ha ga-arụsi ọrụ ike na gbakwaa ọsịsọ tutu ha enweta nri ha ga-eri."" Ya mere o sere foto ebe nwata nwoke  ọsịsọ jupụtara n'ahụ na-edote nri n'elu tebulu ya.","N'okpuru ebe a, ihe ka ọtụtụ n'ime anyị, bụ́ ndị na - ele onwe anyị anya dị ka nkezi, na - ele anyị anya dị ka ihe ùgwù."
"For it became him, for whom are all things and through whom are all things, in bringing many children to glory, to make the author of their salvation perfect through sufferings.","Ebe e sitere na ya kpọbata ọtụtụ ụmụ n'ebube, o ziri ezi ka Chineke, onye ihe niile dịrị na onye kere ihe niile, mee ka onyeisi nzọpụta ha bụrụ onye zuruoke site n'ahụhụ ọ hụrụ.","N'ihi na ọ ghọrọ ya, n'ihi na ọ bụ ya bụ ihe niile, bụrụkwa onye si n'aka ya na - eme ka e too ọtụtụ ụmụaka, ka o wee mee ka onye nzọpụta ha zuo okè site n'ahụhụ."
"I am the Alpha and the Omega, the First and the Last, the Beginning and the End.","Abụ m Alfa na Omega. Onye mbụ na Onye ikpeazụ, Mmalite na Ọgwụgwụ.","Mụ onwe m bụ Map na Omega ahụ́, Onye Mbụ na Onye Ikpeazụ, Mmalite na Ọgwụgwụ."
"""The LORD who does it, the LORD who forms it to establish it—the LORD is his name, says:","""Ihe ndị a ka Onyenwe anyị, onye ahụ kere ụwa kwuru, Onyenwe anyị, onye kpụrụ ya mee ya ka o guzosie ike, Onye aha ya bụ Onyenwe anyị:",""" ONYE Onyenwe anyị, bụ́ ONYE na - eme ya, onye na - akpụ ya iji mee ka aha Onyenwe anyị pụta ìhè, ka aha ya na - ekwu:"
Nigerian youths have challenged Buhari,Ntorobịa Naịjirịa amaala Buhari aka,Ndị ntorobịa Naijiria ekwuwo na ha na-enweghị nsogbu
"He killed a huge Egyptian, and the Egyptian had a spear in his hand; but he went down to him with a staff and plucked the spear out of the Egyptian's hand, and killed him with his own spear.","O tigburu otu nwoke onye Ijipt, gbara dimkpa. Ọ bụ ezie na onye Ijipt ahụ ji ùbe n'aka ya, ma Benaya ji naanị mkpọ jekwuru ya. Pụnara onye Ijipt ahụ ùbe dị n'aka ya. Jiri ya magbuo ya","O gburu otu nnukwu onye Ijipt, onye Ijipt ahụ jikwa ube n'aka ya; ma o ji mkpara dakwasị ya ma si n'aka onye Ijipt ahụ tụọ ya ube, ma jiri ube ya gbuo ya."
With the fire searing through their skins and leaving them locked in each other's arms until the very end.,"Ọkụ gbara ha agba agba n' ahụ, ebe ọkụ kpọchiri ha n' ogwe aka onwe ha ruo n' ọnwụ.",Ka ha na - agba oké osimiri ahụ ọkụ n'ahụ́ ha ma na - ahapụ ha n'aka ibe ha ruo mgbe ọ ga - agwụ.
"As this was happening in house of representatives, more than 33 APC members decamped to PDP, whereas 4 persons joined ADC","Ka nke a na-eme, n'ụlọomeiwu nke nta (House of Representatives), ihe karịrị mmadụ 33 hapụkwara otu APC gafee PDP, ebe mmadụ anọ banyere ADC.","Ka nke a nọ na - eme n'ụlọ ndị nnọchiteanya, ihe karịrị mmadụ 33 na - eje ozi n'ebe a na - egwupụta ihe n'ala, ebe mmadụ 4 sonyeere ADC"
"But now, Musa who performed wonderfully well in the just concluded world cup competition has left Leicester City for Al Nasr of Saudi Arabia's club.","Mana ugbua, Musa kpara mkpamkpa n'asọmpi Iko Mbaụwa gwụrụ agwụ esila n'otu Leicester City gafee n'otu Al Nasr nke Saudi Arebia.","Ma ugbu a, otu nwoke aha ya bụ Msna, bụ́ onye na - eme nke ọma n'egwuregwu mba ndị ka na - aṅụ oké mmanya n'ụwa niile, emeela ka ihe ka njọ n'obodo ahụ."
"When Moses held up his hand, Israel prevailed. When he let down his hand, Amalek prevailed.","Ndị Izrel na-enwe mmeri mgbe ọbụla Mosis weliri aka ya elu, ma ndị Amalek na-emeri mgbe ọbụla Mosis wedatara aka ya.","Mgbe Mozis jidere aka ya, ndị Izrel meriri ya."
"Out of heaven he made you to hear his voice, that he might instruct you. On earth he made you to see his great fire; and you heard his words out of the middle of the fire.","O sitere n'eluigwe mee ka unu nụ olu ya maka ịdọ unu aka na ntị. N'ụwa, o mere ka unu hụ oke ogidi ọkụ ahụ o wuru, unu nụkwara olu ya n'etiti ọkụ ahụ.","O si n'eluigwe mee ka ị nụ olu ya, ka o wee zie gị ihe: n'elu ụwa ka O mere ka ị hụ oké ọkụ ya; ị nụkwara okwu ya n'etiti ọkụ."
"If you shall say in your heart, ""These nations are more than I; how can I dispossess them?""","Ma eleghị anya, unu ga na-eche n'ime onwe unu sị, ""Mba ndị a dị ike karịa anyị, olee otu anyị ga-esi chụpụ ha?""","Ọ bụrụ na ị ga - ekwu n'obi gị, sị, ""Mba ndị a karịrị m; olee otú m ga - esi mee ka ha maa jijiji? """
It can thus be inferred that was the very reason his types got away with so much impunity.,Ọ nwere ike bụrụ ihe kpatara ụdị ya ji pụọ n'enweghị ntaramahụhụ. ,"N'ihi ya, ọ pụrụ ịbụ n'ihi ihe a na - ejighị nnọọ ọrụ n'aka nke na ụdị ndị ọ na - enweghị ka ọ hà ha."
World Diabetes Day is the global awareness campaign focusing on diabetes Mellitus which comes up on fourteenth November every year.,Ụbọchị ọrịa shuga ụwa bụ ụbọchị edebere maka ịkụzị gbasara ọrịa shuga nke na-abịa n'abalị iri na anọ n'ọnwa Nọvemba kwa afọ,Usoro ọrịa shuga ụwa bụ mkpọsa a maara nke ọma a na - eme n'ụwa nile bụ́ nke na - elekwasị anya n'ọrịa shuga bụ́ nke na - amalite na November nke iri na anọ kwa afọ.
"I was afraid, and went away and hid your talent in the earth. Behold, you have what is yours.'","N'ihi nke a, atụrụ m egwu, a gara m liere gị ego talenti gị n'ala. Lee ihe gị werekwa.'","Ụjọ ji m, m wee pụọ zoo talent gị n'ụwa; lee, i nwere ihe bụ́ nke gị."
"Behold, if a river overflows, he doesn't tremble. He is confident, though the Jordan swells even to his mouth.","Ọ bụladị mgbe ebili mmiri na-ama, ọ dịghị atụ egwu; ọ na-anọ nwayọọ, n'agbanyeghị na mmiri Jọdan na-asọpụta na-asọju ya n'ọnụ.","Obi siri ya ike, ọ bụ ezie na Jọdan na - asọ ọbụna ruo n'ọnụ ya, ọ bụrụ na osimiri sara mbara."
"Since the senatorial election, INEC has given president Buhari and his vice certificate of office and also the senate house theirs.","Kamgbe emechara ntuliaka nke ọkwa sineti, INEC enyela onyeisiala Buhari na osote ya asambodo mmeri ma nyekwa ndị otu ụlọomeiwu ukwu nke ha.","Kemgbe òtù ndọrọ ndọrọ ọchịchị kwadoro ya, NEC enyela president BuN na post ọfịs ya, nyekwa ndị isi ụlọ nke ha ụlọ ndị a na - akwụ ụgwọ na ha."
"If you will fear the LORD, and serve him, and listen to his voice, and not rebel against the commandment of the LORD, then both you and also the king who reigns over you are followers of the LORD your God.","Ugbu a, ọ bụrụ na unu ga-atụ egwu Onyenwe anyị, fee ya, rubere ya isi, hapụ inupu isi n'ebe iwu ya dị, ọ bụrụkwa na unu na eze unu ga-esogide Onyenwe anyị Chineke unu, ihe niile ga-adị mma.","Ọ bụrụ na ị ga - atụ Onyenwe anyị egwu, ma na - ejere ya ozi, ma gee ntị n'olu ya, ma ghara inupụrụ iwu Jehova isi, mgbe ahụ, ma gị ma eze ahụ nke na - achị gị bụ ụmụazụ nke Jehova bụ́ Chineke gị."
"These are those who were counted of the families of the Kohathites, all who served in the Tent of Meeting, whom Moses and Aaron counted according to the commandment of the LORD by Moses.",Ndị a niile bụ ndị si n'ikwu Kohat ndị na-eje ozi n'ụlọ nzute. Mosis na Erọn gụrụ ha ọnụ dịka iwu Onyenwe anyị nyere Mosis si dị.,"Ndị a bụ ndị a gụrụ aha ezinụlọ dị iche iche nke ndị Hasmon, ndị nile jere ozi ná Nzukọ, bụ́ ndị Mozis na Erọn gụrụ dị ka iwu Jehova nke Mozis si dị."
Sally Hawkins,Sally Hawkins,Ihe a bụ otu nwanna nwaanyị aha ya bụ ịna - akpa àgwà ọma.
He is an expert in Economics. ,Ọ bụ onye ọkachamara n'ihe gbasara akụnaụba,Ọ bụ ọkachamara n'ihe banyere ọnọdụ akụ̀ na ụba.
Police are still investigating to find out the perpetrators.,Ndị uweojii ka na ama imi n'ala ịmata ndị kpara arụ a.,Ndị uwe ojii ka na - eme nnyocha ịchọpụta ndị kpara arụ ahụ.
"In a letter from Imo police spokesman, Godson Ikeokwu said that people saw Imoh and the boy and thought that she would not be his mother alerted the police.",Akwụkwọ ozi sị n'aka ọnụ na-ekwuru ndị uweojii n'Imo bụ Godson Ikeokwu sị na ọ bụ ndị mmadụ hụrụ Imoh na nwata ahụ wee che na ọgaghị abụ nne ya gbaara ndị uweojii ama.,"N'akwụkwọ ozi sitere n'aka ndị uwe ojii bụ́ ndị na - ekwuchitere ndị uwe ojii, Godson Ikeoko kwuru na ndị mmadụ na - ahụ Imisi na nwa okoro ahụ ma na - eche na ọ gaghị abụ nne ya na - ama ndị uwe ojii aka."
"always in every request of mine on behalf of you all, making my requests with joy,","N'ime arịrịọ niile m na-arịọ ya mgbe niile n'ekpere m n'ihi unu, obi m na-ejupụta n'ọṅụ.","N'ihe ọ bụla m na - arịọ n'ihi unu, jiri ọṅụ na ọṅụ na - arịọ arịrịọ m mgbe nile"
"and certain women who had been healed of evil spirits and infirmities: Mary who was called Magdalene, from whom seven demons had gone out;","na ụmụ nwanyị ụfọdụ ndị a chụpụrụ mmụọ ọjọọ site n'ime ha, gwọkwa ha nrịa nrịa: Meri Magdalin onye e sitere n'ime ya chụpụ mmụọ ọjọọ asaa,","na ụfọdụ ụmụ nwaanyị ndị a gwọrọ mmụọ ọjọọ na ọrịa: Meri, bụ́ onye a kpọrọ Magdalin, onye ndị mmụọ ọjọọ asaa si n'ebe ọ nọ pụọ;"
"Indeed, The Guardian checks showed that there is a legal basis for the NCC’s intervention to protect telecoms service consumers (i.e.bank customers who use USSD for financial transactions).","N'ezie, nnyocha nke Guardian gosiri na enwere ikike iwu maka ndị NCC itinye aka ịchekwa ndị ahịa ozi telekọm (ya bụ, ndị ahịa ụlọakụ ndị na-eji USSD eme mgbazinye ego)","N'ezie, akwụkwọ akụkọ bụ́ The Guardian na - ekwu na e nwere ihe iwu kwadoro mere ndị na - ere ahịa iji chebe ndị na - azụ ahịa n'ụlọ ahịa (ya bụ, ndị ọchụnta ego."
"The former Abia State governor, who is currently serving a 12-year jail term, is facing prosecution over N7.5bn belonging to the state he misappropriated while presiding over the affairs of the state.","Gọvanọ chịburu steeti Abịa nke nọ na mkpọrọ afọ iri na abụọ, na-agabiga ikpe maka ihe karịrị ijeri narịa 7.5 bụ ego steeti nke emefuru mgbe ọ na-achị steeti ahụ","Onye bụbu gọvanọ nke State, bụ́ onye na - eje ozi ugbu a n'ụlọ nga ugboro iri na abụọ, na - eche okwu ikpe ihu n'ihi Na7.57 n'ihi ọnọdụ ọ nọ na ya mgbe ọ na - eduzi ihe omume nke mba ahụ."
"John Magufuli, Tanzania's President has called on women to ""set your ovaries free"" and bear more children so that the country can enjoy demographic dividends.","John Magufuli, Onyeisi ala nke mba Tanzania akpọkuola ụmụ nwaanyị ka ha kpọghepụ akpa nwa ha ma mụọ ọtụtụ ụmụ ka mba ahụ wee nwee ike irite nnukwu ego ana enye mba ọbụla. ","John Blanalalas, bụ́ onyeisi ala Tanzania, agwawo ụmụ nwanyị ka ha ""nyere ụmụ nwanyị ihe omume gị n'efu"" ma mụọ ụmụ karị ka mba ahụ wee nwee ike inwe obi ụtọ n'ụzọ a na - achịkwaghị achịkwa."
Cola nut is one of the things that must be seen in any occasion in Igbo land.,Ọjị bụ otu ihe ị ga-ahụrịrị n'emume ọbụla gbasara ala Igbo.,"N'ala Igbo, e nwere otu n'ime ihe ndị a na - aghaghị ịhụ anya mgbe ọ bụla."
An interesting story ,Akụkọ ga-amasị gị,Akụkọ na - akpali mmasị
"when the dust runs into a mass, and the clods of earth stick together?","mgbe aja dị n'ala siri ike, mgbe ọkpụrụkpụ aja dị n'ala na-akpụkọta n'ahụ ibe ha?","Ọ bụrụ na ájá abanye n'oké osimiri, ọ bụrụkwa na ájá dị n'ụwa hà otú ọ dị ugbu a?"
"""For from their least even to their greatest, everyone is given to covetousness. From the prophet even to the priest, everyone deals falsely.","""N'ihi na site n'onye ukwu ruo n'onye dịkarịsịrị nta, ọ bụ naanị akpịrị uru na-ezighị ezi ka e ji mara ha. Ọ bụladị ndị amụma na ndị nchụaja na-etinyekwa aka n'ọrụ aghụghọ.",""" N'ihi na site n'onye kasị nta n'ime ha ruo n'onye kasị ukwuu, a na - enye onye ọ bụla anyaukwu: ọbụna site n'aka onye amụma ahụ, onye ọ bụla na - ekwu okwu ụgha."
All the people saw him walking and praising God.,"Mmadụ niile hụrụ ya ka ọ na-agagharị na-eto Chineke,",Ndị ahụ nile hụrụ ya ka ọ na - eje ije ma na - eto Chineke.
"A former political adviser in the Presidency, Dr Usman Bugaje, has described President Muhammadu Buhari's fight against corruption as one that is profoundly disappointing.	 	 ","Onye bụbu onye ndụmọdụ ndọrọ ndọrọ ọchịchị na Onye isi ala, Dr Usman Bugaje akọwaala ọgụ Onye isi ala Muhammadu Buhari megide mpụ bụ nke na-emechu iru nke ukwu .","Otu onye bụbu onye ndụmọdụ ndọrọ ndọrọ ọchịchị n'Ụlọ Ọrụ Na - ahụ Maka Ndị Ọchịchị, nke aha ya bụ Dr Urman Buuje, akọwawo ọgụ President bụ́ Buuu attacks na - alụso nrụrụ aka dị ka nke na - ala n'iyi n'ụzọ dị ukwuu."
Buhari has reinstate the leader of NHIS,Buhari akpọghachiela onyeisi NHIS,BOSSS oge ochie na - ekwu na ọ bụ ya na - atụrụ ndị mmadụ ihe ha ga - eme.
"Welcoming members of the House back from recess, the Speaker commended the lawmakers who used the recess to embark on constituency projects in their various constituencies as testimonies abound from their various constituents.","N'ịnabata ndị ọkaikpe gara ezumike, onye ọka ikpe ahụ jara ndị omeiwu mma iji ezumike ahụ malịte ọrụ dị mma na ngalaba ha dị iche iche ebe akaebe na-esite n'mpaghara obodo ha dị iche iche.","N'ịbụ ndị si n'Ụlọ Nzukọ Alaeze lọta, ndị ahụ na - arụ ọrụ n'ụlọ ọrụ ahụ jara ndị na - arụ ọrụ n'ebe dịgasị iche iche mma, bụ́ ndị ji ụlọ ọrụ ahụ malite ọrụ n'ebe dịgasị iche iche ha na - arụ ọrụ."
"You must not offer any of these as the bread of your God from the hand of a foreigner, because their corruption is in them. There is a defect in them. They shall not be accepted for you.'""","Unu esitekwala n'aka onye ọbịa nata ụdị onyinye a, ma webata ya dịka nri a na-enye Chineke unu. A gaghị anabata ha n'ọnọdụ unu, n'ihi na ha nwere nkwarụ, nwekwa ntụpọ.' ""","Unu enyela onye ọ bụla n'ime ihe ndị a dị ka achịcha nke Chineke unu site n'aka onye mba ọzọ, n'ihi na ire ha dị n'ime ha: a gaghị anabata ha n'ebe unu nọ. """
"'And I will seek the cooperation of law-abiding Nigerians from North, South, East and West, wherever they find this individual, they should report to the nearest police station or any other security agency for possible arrest and prosecution.","'Ma ana m arịọ mmekọrịta ndị Naịjirịa na-edobe iwu na mgbago ugwu, mgbada ugwu, ọwụwa anyanwụ na ọdịda anyanwụ, ebe ọbụla ha hụrụ onye a, ha gaa nye mkpesa n' ọdụ ndị uwe ojii dị nso ma ọ bụ ngalaba ọrụ nchekwa ọzọ maka njide na ikpe ya ikpe.","Aga m achọ nkwado iwu site n'Ebe Ugwu, Ebe Ndịda, Ebe Ọwụwa Anyanwụ na Ebe Ọdịda Anyanwụ, n'ebe ọ bụla ha hụrụ onye a, ha kwesịrị ịga n'ụlọ ọrụ ndị uwe ojii kasị nso ma ọ bụ ụlọ ọrụ nchebe ọ bụla ọzọ iji jide mmadụ ma gbaa ya ajụjụ ọnụ."
"What grows of itself in your harvest you shall not reap, and you shall not gather the grapes of your undressed vine. It shall be a year of solemn rest for the land.","Unu agaghị ewe ihe ubi ọbụla ga-epupụtara onwe ha n'oge a, maọbụ tụtụọ mkpụrụ osisi vaịnị ndị ga-ada ada. N'ihi na afọ ahụ bụ afọ ozuzu ike dịrị ala ubi niile.","Ihe na - eto n'owuwe ihe ubi gị agaghị ewe gị ihe ubi, ị gaghịkwa achịkọta mkpụrụ vaịn nke osisi vaịn gị a na - agwaghị agwa; ọ ga - abụ afọ izu ike nye ala ahụ."
"The fat of that which dies of itself, and the fat of that which is torn of animals, may be used for any other service, but you shall in no way eat of it.",Abụba anụ ọbụla nwụrụ anwụ maọbụ nke anụ ọhịa gburu adịghị mma oriri. E nwere ike jiri ha mee ihe ọzọ.,"E nwere ike iji abụba nke na - anwụ n'onwe ya, na abụba nke anụ ahụ e gbupụrụ egwepịa, mee ihe maka ofufe ọ bụla ọzọ, ma ị gaghị eri ya n'ụzọ ọ bụla."
it can be grinded to be in powdered form to be used as flour.,A na-akwọ mkpụrụ ụkwa akwọ jiri ya mee ihe bekee kpọrọ flour,A pụrụ ime ka ọ ghọọ ntụ ọka.
